building_name,building_id,category,level,wood,clay,iron,crop,total_resources,build_time,population,culture_points,effect_type,effect_value,effect_unit,effect_description
Cropland,g4,Infrastructure,19,714485,918625,714485,204140,2551735,633,18,32,resource_production,570,absolute,Cropland resource production
Cropland,g4,Infrastructure,20,1193195,1534105,1193195,340915,4261410,1014,20,38,resource_production,600,absolute,Cropland resource production
Cropland,g4,Infrastructure,21,1992635,2561960,1992635,569325,7116555,1623,22,46,resource_production,630,absolute,Cropland resource production
Cropland,g4,Infrastructure,22,3327700,4278470,3327700,950770,11884640,2596,24,55,resource_production,660,absolute,Cropland resource production
Cropland,g4,Infrastructure,23,5557255,7145045,5557255,1587785,19847340,4155,26,66,resource_production,690,absolute,Cropland resource production
Grain Mill,g8,Infrastructure,1,500,440,380,1240,2560,1840,3,1,production_bonus,5,percentage,mill production bonus
Grain Mill,g8,Infrastructure,2,900,790,685,2230,4605,3960,5,1,production_bonus,10,percentage,mill production bonus
Grain Mill,g8,Infrastructure,3,1620,1425,1230,4020,8295,7140,7,2,production_bonus,15,percentage,mill production bonus
Grain Mill,g8,Infrastructure,4,2915,2565,2215,7230,14925,11910,9,2,production_bonus,20,percentage,mill production bonus
Grain Mill,g8,Infrastructure,5,5250,4620,3990,13015,26875,19070,11,2,production_bonus,25,percentage,mill production bonus
Iron Foundry,g7,Infrastructure,1,200,450,510,120,1280,4080,6,1,production_bonus,5,percentage,foundry production bonus
Iron Foundry,g7,Infrastructure,2,360,810,920,215,2305,7320,9,1,production_bonus,10,percentage,foundry production bonus
Iron Foundry,g7,Infrastructure,3,650,1460,1650,390,4150,12180,12,2,production_bonus,15,percentage,foundry production bonus
Iron Foundry,g7,Infrastructure,4,1165,2625,2975,700,7465,19470,15,2,production_bonus,20,percentage,foundry production bonus
Iron Foundry,g7,Infrastructure,5,2100,4725,5355,1260,13440,30410,18,2,production_bonus,25,percentage,foundry production bonus
Iron Mine,g3,Infrastructure,1,100,80,30,60,270,450,3,1,resource_production,30,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,2,165,135,50,100,450,920,5,1,resource_production,60,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,3,280,225,85,165,755,1670,7,2,resource_production,90,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,4,465,375,140,280,1260,2880,9,2,resource_production,120,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,5,780,620,235,465,2100,4800,11,2,resource_production,150,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,6,1300,1040,390,780,3510,7880,13,3,resource_production,180,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,7,2170,1735,650,1300,5855,12810,15,4,resource_production,210,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,8,3625,2900,1085,2175,9785,20690,17,4,resource_production,240,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,9,6050,4840,1815,3630,16335,33310,19,5,resource_production,270,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,10,10105,8080,3030,6060,27275,53500,21,6,resource_production,300,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,11,16870,13500,5060,10125,45555,85800,24,7,resource_production,330,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,12,28175,22540,8455,16905,76075,137470,27,9,resource_production,360,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,13,47055,37645,14115,28230,127045,220160,30,11,resource_production,390,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,14,78580,62865,23575,47150,212170,352450,33,13,resource_production,420,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,15,131230,104985,39370,78740,354325,156,36,15,resource_production,450,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,16,219155,175320,65745,131490,591710,250,39,18,resource_production,480,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,17,365985,292790,109795,219590,988160,401,42,22,resource_production,510,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,18,611195,488955,183360,366715,1650225,642,45,27,resource_production,540,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,19,1020695,816555,306210,612420,2755880,1027,48,32,resource_production,570,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,20,1704565,1363650,511370,1022740,4602325,1643,51,38,resource_production,600,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,21,2846620,2277295,853985,1707970,7685870,2630,55,46,resource_production,630,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,22,4753855,3803085,1426155,2852315,12835410,4208,59,55,resource_production,660,absolute,Iron Mine resource production
Iron Mine,g3,Infrastructure,23,7938935,6351150,2381680,4763360,21435125,6734,63,66,resource_production,690,absolute,Iron Mine resource production
Sawmill,g5,Infrastructure,1,520,380,290,90,1280,3000,4,1,production_bonus,5,percentage,sawmill production bonus
Sawmill,g5,Infrastructure,2,935,685,520,160,2300,5700,6,1,production_bonus,10,percentage,sawmill production bonus
Sawmill,g5,Infrastructure,3,1685,1230,940,290,4145,9750,8,2,production_bonus,15,percentage,sawmill production bonus
Sawmill,g5,Infrastructure,4,3035,2215,1690,525,7465,15830,10,2,production_bonus,20,percentage,sawmill production bonus
Sawmill,g5,Infrastructure,5,5460,3990,3045,945,13440,24940,12,2,production_bonus,25,percentage,sawmill production bonus
Woodcutter,g1,Infrastructure,1,40,100,50,60,250,260,2,1,resource_production,30,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,2,65,165,85,100,415,620,3,1,resource_production,60,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,3,110,280,140,165,695,1190,4,2,resource_production,90,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,4,185,465,235,280,1165,2100,5,2,resource_production,120,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,5,310,780,390,465,1945,3560,6,2,resource_production,150,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,6,520,1300,650,780,3250,5890,8,3,resource_production,180,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,7,870,2170,1085,1300,5425,9620,10,4,resource_production,210,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,8,1450,3625,1810,2175,9060,15590,12,4,resource_production,240,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,9,2420,6050,3025,3630,15125,25150,14,5,resource_production,270,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,10,4040,10105,5050,6060,25255,40440,16,6,resource_production,300,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,11,6750,16870,8435,10125,42180,64900,18,7,resource_production,330,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,12,11270,28175,14090,16905,70440,104050,20,9,resource_production,360,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,13,18820,47055,23525,28230,117630,166680,22,11,resource_production,390,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,14,31430,78580,39290,47150,196450,266880,24,13,resource_production,420,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,15,52490,131230,65615,78740,328075,118,26,15,resource_production,450,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,16,87660,219155,109575,131490,547880,189,29,18,resource_production,480,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,17,146395,365985,182995,219590,914965,303,32,22,resource_production,510,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,18,244480,611195,305600,366715,1527990,486,35,27,resource_production,540,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,19,408280,1020695,510350,612420,2551745,778,38,32,resource_production,570,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,20,681825,1704565,852280,1022740,4261410,1245,41,38,resource_production,600,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,21,1138650,2846620,1423310,1707970,7116550,1992,44,46,resource_production,630,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,22,1901540,4753855,2376925,2852315,11884635,3187,47,55,resource_production,660,absolute,Woodcutter resource production
Woodcutter,g1,Infrastructure,23,3175575,7938935,3969470,4763360,19847340,5100,50,66,resource_production,690,absolute,Woodcutter resource production
Brewery,g43,Infrastructure,1,3210,2050,2750,3830,11840,8000,6,5,,,,
Brewery,g43,Infrastructure,2,3980,2540,3410,4750,14680,9940,9,6,,,,
Brewery,g43,Infrastructure,3,4935,3150,4230,5890,18205,12130,12,7,,,,
Brewery,g43,Infrastructure,4,6120,3910,5245,7300,22575,14610,15,8,,,,
Brewery,g43,Infrastructure,5,7590,4845,6500,9055,27990,17410,18,10,,,,
Brewery,g43,Infrastructure,6,9410,6010,8060,11230,34710,20570,22,12,,,,
Brewery,g43,Infrastructure,7,11670,7450,9995,13925,43040,24150,26,14,,,,
Brewery,g43,Infrastructure,8,14470,9240,12395,17265,53370,28190,30,17,,,,
Brewery,g43,Infrastructure,9,17940,11460,15370,21410,66180,32750,34,21,,,,
Brewery,g43,Infrastructure,10,22250,14210,19060,26545,82065,37910,38,25,,,,
Brewery,g43,Infrastructure,11,27590,17620,23635,32915,101760,43730,42,30,,,,
Brewery,g43,Infrastructure,12,34210,21845,29305,40815,126175,50320,46,36,,,,
Brewery,g43,Infrastructure,13,42420,27090,36340,50615,156465,57760,50,43,,,,
Brewery,g43,Infrastructure,14,52600,33590,45060,62760,194010,66170,54,51,,,,
Brewery,g43,Infrastructure,15,65225,41655,55875,77820,240575,75670,58,62,,,,
Brewery,g43,Infrastructure,16,80880,51650,69290,96500,298320,86410,63,74,,,,
Brewery,g43,Infrastructure,17,100290,64045,85915,119660,369910,98540,68,89,,,,
Brewery,g43,Infrastructure,18,124360,79420,106535,148375,458690,112250,73,106,,,,
Brewery,g43,Infrastructure,19,154205,98480,132105,183990,568780,127750,78,128,,,,
Brewery,g43,Infrastructure,20,191215,122115,163810,228145,705285,145250,83,153,,,,
Command Center,g36,Infrastructure,1,1600,1250,1050,200,4100,2500,1,2,,,,
Command Center,g36,Infrastructure,2,1950,1525,1280,245,5000,3200,2,3,,,,
Command Center,g36,Infrastructure,3,2380,1860,1565,300,6105,4010,3,3,,,,
Command Center,g36,Infrastructure,4,2905,2270,1905,365,7445,4950,4,4,,,,
Command Center,g36,Infrastructure,5,3545,2770,2325,445,9085,6050,5,5,,,,
Command Center,g36,Infrastructure,6,4325,3380,2840,540,11085,7310,6,6,,,,
Command Center,g36,Infrastructure,7,5275,4120,3460,660,13515,8780,7,7,,,,
Command Center,g36,Infrastructure,8,6435,5030,4225,805,16495,10490,8,9,,,,
Command Center,g36,Infrastructure,9,7850,6135,5155,980,20120,12470,9,10,,,,
Command Center,g36,Infrastructure,10,9580,7485,6285,1195,24545,14760,10,12,,,,
Command Center,g36,Infrastructure,11,11685,9130,7670,1460,29945,17430,12,15,,,,
Command Center,g36,Infrastructure,12,14260,11140,9355,1780,36535,20510,14,18,,,,
Command Center,g36,Infrastructure,13,17395,13590,11415,2175,44575,24100,16,21,,,,
Command Center,g36,Infrastructure,14,21225,16580,13925,2655,54385,28250,18,26,,,,
Command Center,g36,Infrastructure,15,25890,20230,16990,3235,66345,33070,20,31,,,,
Command Center,g36,Infrastructure,16,31590,24680,20730,3950,80950,38660,22,37,,,,
Command Center,g36,Infrastructure,17,38535,30105,25290,4815,98745,45150,24,44,,,,
Command Center,g36,Infrastructure,18,47015,36730,30855,5875,120475,52670,26,53,,,,
Command Center,g36,Infrastructure,19,57360,44810,37640,7170,146980,61400,28,64,,,,
Command Center,g36,Infrastructure,20,69975,54670,45925,8745,179315,71520,30,77,,,,
Cranny,g23,Infrastructure,1,40,50,30,10,130,300,0,1,,,,
Cranny,g23,Infrastructure,2,50,65,40,15,170,650,0,1,,,,
Cranny,g23,Infrastructure,3,65,80,50,15,210,1050,0,2,,,,
Cranny,g23,Infrastructure,4,85,105,65,20,275,1520,0,2,,,,
Cranny,g23,Infrastructure,5,105,135,80,25,345,2060,0,2,,,,
Cranny,g23,Infrastructure,6,135,170,105,35,445,2690,1,3,,,,
Cranny,g23,Infrastructure,7,175,220,130,45,570,3420,2,4,,,,
Cranny,g23,Infrastructure,8,225,280,170,55,730,4270,3,4,,,,
Cranny,g23,Infrastructure,9,290,360,215,70,935,5260,4,5,,,,
Cranny,g23,Infrastructure,10,370,460,275,90,1195,6400,5,6,,,,
Embassy,g18,Infrastructure,1,180,130,150,80,540,2000,3,5,,,,
Embassy,g18,Infrastructure,2,230,165,190,100,685,2620,5,6,,,,
Embassy,g18,Infrastructure,3,295,215,245,130,885,3340,7,7,,,,
Embassy,g18,Infrastructure,4,375,275,315,170,1135,4170,9,8,,,,
Embassy,g18,Infrastructure,5,485,350,405,215,1455,5140,11,10,,,,
Embassy,g18,Infrastructure,6,620,445,515,275,1855,6260,13,12,,,,
Embassy,g18,Infrastructure,7,790,570,660,350,2370,7570,15,14,,,,
Embassy,g18,Infrastructure,8,1015,730,845,450,3040,9080,17,17,,,,
Embassy,g18,Infrastructure,9,1295,935,1080,575,3885,10830,19,21,,,,
Embassy,g18,Infrastructure,10,1660,1200,1385,740,4985,12860,21,25,,,,
Embassy,g18,Infrastructure,11,2125,1535,1770,945,6375,15220,24,30,,,,
Embassy,g18,Infrastructure,12,2720,1965,2265,1210,8160,17950,27,36,,,,
Embassy,g18,Infrastructure,13,3480,2515,2900,1545,10440,21130,30,43,,,,
Embassy,g18,Infrastructure,14,4455,3220,3715,1980,13370,24810,33,51,,,,
Embassy,g18,Infrastructure,15,5705,4120,4755,2535,17115,29080,36,62,,,,
Embassy,g18,Infrastructure,16,7300,5275,6085,3245,21905,34030,39,74,,,,
Embassy,g18,Infrastructure,17,9345,6750,7790,4155,28040,39770,42,89,,,,
Embassy,g18,Infrastructure,18,11965,8640,9970,5315,35890,46440,45,106,,,,
Embassy,g18,Infrastructure,19,15315,11060,12760,6805,45940,54170,48,128,,,,
Embassy,g18,Infrastructure,20,19600,14155,16335,8710,58800,63130,51,153,,,,
Granary,g11,Infrastructure,1,80,100,70,20,270,1600,1,1,storage_capacity,983,absolute,granary storage capacity
Granary,g11,Infrastructure,2,100,130,90,25,345,2160,2,1,storage_capacity,1209,absolute,granary storage capacity
Granary,g11,Infrastructure,3,130,165,115,35,445,2800,3,2,storage_capacity,1486,absolute,granary storage capacity
Granary,g11,Infrastructure,4,170,210,145,40,565,3550,4,2,storage_capacity,1828,absolute,granary storage capacity
Granary,g11,Infrastructure,5,215,270,190,55,730,4420,5,2,storage_capacity,2247,absolute,granary storage capacity
Granary,g11,Infrastructure,6,275,345,240,70,930,5420,6,3,storage_capacity,2763,absolute,granary storage capacity
Granary,g11,Infrastructure,7,350,440,310,90,1190,6590,7,4,storage_capacity,3397,absolute,granary storage capacity
Granary,g11,Infrastructure,8,450,565,395,115,1525,7950,8,4,storage_capacity,4177,absolute,granary storage capacity
Granary,g11,Infrastructure,9,575,720,505,145,1945,9520,9,5,storage_capacity,5136,absolute,granary storage capacity
Granary,g11,Infrastructure,10,740,920,645,185,2490,11340,10,6,storage_capacity,6315,absolute,granary storage capacity
Granary,g11,Infrastructure,11,945,1180,825,235,3185,13450,12,7,storage_capacity,7764,absolute,granary storage capacity
Granary,g11,Infrastructure,12,1210,1510,1060,300,4080,15910,14,9,storage_capacity,9546,absolute,granary storage capacity
Granary,g11,Infrastructure,13,1545,1935,1355,385,5220,18750,16,11,storage_capacity,11737,absolute,granary storage capacity
Granary,g11,Infrastructure,14,1980,2475,1735,495,6685,22050,18,13,storage_capacity,14430,absolute,granary storage capacity
Granary,g11,Infrastructure,15,2535,3170,2220,635,8560,25880,20,15,storage_capacity,17742,absolute,granary storage capacity
Granary,g11,Infrastructure,16,3245,4055,2840,810,10950,30320,22,18,storage_capacity,21814,absolute,granary storage capacity
Granary,g11,Infrastructure,17,4155,5190,3635,1040,14020,35470,24,22,storage_capacity,26821,absolute,granary storage capacity
Granary,g11,Infrastructure,18,5315,6645,4650,1330,17940,41450,26,27,storage_capacity,32976,absolute,granary storage capacity
Granary,g11,Infrastructure,19,6805,8505,5955,1700,22965,48380,28,32,storage_capacity,40544,absolute,granary storage capacity
Granary,g11,Infrastructure,20,8710,10890,7620,2180,29400,56420,30,38,storage_capacity,49849,absolute,granary storage capacity
Great Granary,g39,Infrastructure,1,400,500,350,100,1350,7000,1,1,storage_capacity,983,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,2,510,640,450,130,1730,8420,2,1,storage_capacity,1209,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,3,655,820,575,165,2215,10070,3,2,storage_capacity,1486,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,4,840,1050,735,210,2835,11980,4,2,storage_capacity,1828,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,5,1075,1340,940,270,3625,14190,5,2,storage_capacity,2247,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,6,1375,1720,1205,345,4645,16770,6,3,storage_capacity,2763,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,7,1760,2200,1540,440,5940,19750,7,4,storage_capacity,3397,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,8,2250,2815,1970,565,7600,23210,8,4,storage_capacity,4177,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,9,2880,3605,2520,720,9725,27220,9,5,storage_capacity,5136,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,10,3690,4610,3230,920,12450,31880,10,6,storage_capacity,6315,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,11,4720,5905,4130,1180,15935,37280,12,7,storage_capacity,7764,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,12,6045,7555,5290,1510,20400,43540,14,9,storage_capacity,9546,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,13,7735,9670,6770,1935,26110,50810,16,11,storage_capacity,11737,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,14,9905,12380,8665,2475,33425,59240,18,13,storage_capacity,14430,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,15,12675,15845,11090,3170,42780,69010,20,15,storage_capacity,17742,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,16,16225,20280,14200,4055,54760,80360,22,18,storage_capacity,21814,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,17,20770,25960,18175,5190,70095,93510,24,22,storage_capacity,26821,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,18,26585,33230,23260,6645,89720,108780,26,27,storage_capacity,32976,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,19,34030,42535,29775,8505,114845,126480,28,32,storage_capacity,40544,absolute,great granary storage capacity
Great Granary,g39,Infrastructure,20,43555,54445,38110,10890,147000,147020,30,38,storage_capacity,49849,absolute,great granary storage capacity
Great Warehouse,g38,Infrastructure,1,650,800,450,200,2100,9000,1,1,storage_capacity,983,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,2,830,1025,575,255,2685,10740,2,1,storage_capacity,1209,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,3,1065,1310,735,330,3440,12760,3,2,storage_capacity,1486,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,4,1365,1680,945,420,4410,15100,4,2,storage_capacity,1828,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,5,1745,2145,1210,535,5635,17820,5,2,storage_capacity,2247,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,6,2235,2750,1545,685,7215,20970,6,3,storage_capacity,2763,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,7,2860,3520,1980,880,9240,24620,7,4,storage_capacity,3397,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,8,3660,4505,2535,1125,11825,28860,8,4,storage_capacity,4177,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,9,4685,5765,3245,1440,15135,33780,9,5,storage_capacity,5136,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,10,5995,7380,4150,1845,19370,39480,10,6,storage_capacity,6315,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,11,7675,9445,5315,2360,24795,46100,12,7,storage_capacity,7764,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,12,9825,12090,6800,3020,31735,53780,14,9,storage_capacity,9546,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,13,12575,15475,8705,3870,40625,62680,16,11,storage_capacity,11737,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,14,16095,19805,11140,4950,51990,73010,18,13,storage_capacity,14430,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,15,20600,25355,14260,6340,66555,84990,20,15,storage_capacity,17742,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,16,26365,32450,18255,8115,85185,98890,22,18,storage_capacity,21814,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,17,33750,41540,23365,10385,109040,115010,24,22,storage_capacity,26821,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,18,43200,53170,29910,13290,139570,133710,26,27,storage_capacity,32976,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,19,55295,68055,38280,17015,178645,155400,28,32,storage_capacity,40544,absolute,great warehouse storage capacity
Great Warehouse,g38,Infrastructure,20,70780,87110,49000,21780,228670,180570,30,38,storage_capacity,49849,absolute,great warehouse storage capacity
Harbor,g44,Infrastructure,1,1440,1370,1290,495,4595,4000,3,5,,,,
Harbor,g44,Infrastructure,2,1870,1780,1675,645,5970,4940,5,6,,,,
Harbor,g44,Infrastructure,3,2435,2315,2180,835,7765,6030,7,7,,,,
Harbor,g44,Infrastructure,4,3165,3010,2835,1090,10100,7300,9,8,,,,
Harbor,g44,Infrastructure,5,4115,3915,3685,1415,13130,8760,11,10,,,,
